Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Latitude,Longitude ,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality
44379,US-Mexico Border,"January 31, 2018",2018,Jan,1,0,1,0,0,1,0,Drowning,"Río Bravo, near Puente Internacional II Juárez-Lincoln, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana de Nuevo Laredo, Líder Web",27.49992155,-99.50309637,Central America to US,"http://bit.ly/2EayBHN, http://bit.ly/2DTPiDW, http://bit.ly/2nzENPe",Central America,3
44380,US-Mexico Border,"January 31, 2018",2018,Jan,1,0,1,0,0,1,0,Drowning,"Río Bravo, near Ejido Longoreño, Matamoros, Tamaulipas, Mexico","El Diario de Victoria, Hoy Tamaulipas",25.8375141,-97.40541677,Central America to US,"http://bit.ly/2GCqDWi, http://bit.ly/2EaA0Oz",Central America,3
44383,Europe,"January 31, 2018",2018,Jan,1,0,1,0,0,1,0,Drowning,"Kolpa/Kupa river, near Ladešići, municipality of Netretić, Croatia","IOM Croatia, IOM Slovenia, KaPortal.hr, Večernji list, Jutarnji list, zurnal24.si",45.48809261,15.38637772,Western Balkans,"http://bit.ly/2GH22zy, http://bit.ly/2EcNr0v, http://bit.ly/2ECvZAt",Southern Europe,3
44646,US-Mexico Border,"January 31, 2018",2018,Jan,1,0,1,0,0,1,0,Unknown,Unspecified location on the US/Mexico border,Prensa Libre,31.49713347,-111.413387,Central America to US,http://bit.ly/2Cnfe9n,Northern America,1
50872,North Africa,"January 31, 2018",2018,Jan,1,0,1,0,0,1,0,"Sickness and lack of access to medicines, Starvation","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),31.723048,14.025968,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50873,North Africa,"January 31, 2018",2018,Jan,2,0,2,0,1,1,0,Vehicle Accident,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),21.14317,23.823002,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50874,North Africa,"January 31, 2018",2018,Jan,1,0,1,0,1,0,1,Harsh weather/lack of adequate shelter,"Near Gedaref, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),13.966799,35.440559,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50875,Sub-Saharan Africa,"January 31, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Zinder, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),13.794627,8.989361,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
48315,Europe,"January 30, 2018",2018,Jan,1,0,1,0,0,1,0,Exposure,"Farm near Kneževi Vinogradi, Osječko-Baranjska, Croatia","UNHCR, Croatian Police",45.75032239,18.74727777,Unknown,https://bit.ly/2QOtyPJ,Southern Europe,4
50870,North Africa,"January 30, 2018",2018,Jan,2,0,2,0,0,2,0,"Sickness and lack of access to medicines, Vehicle Accident",Egyptian Libyan border ,Mixed Migration Monitoring Mechanism Initiative (4mi),27.989551,24.863537,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
